INCHIKEY,SHORTINCHIKEY,INCHI,SMILES,TAXA_NAME,KINGDOM,FAMILY,GENUS,CLASSYFIRE_CLASS,CLASSYFIRE_SUBCLASS,NPCLASSIF_CLASS,NPCLASSIF_PATHWAY,Pubchem fingerprints for SMILES,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,Mannhold LogP,Atomic Polarizabilities,Aromatic Atoms Count,Aromatic Bonds Count,Element Count,Bond Polarizabilities,Bond Count,Eccentric Connectivity Index,Fragment Complexity,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Largest Chain,Largest Pi Chain,Petitjean Number,Rotatable Bonds Count,Lipinski's Rule of Five,Topological Polar Surface Area,Vertex adjacency information magnitude,Molecular Weight,XLogP,Zagreb Index,Molecular Formula,Formal Charge,Formal Charge (pos),Formal Charge (neg),Heavy Atoms Count,Molar Mass,SP3 Character,Rotatable Bonds Count (non terminal)
AAABMNXUOFPYQK-ZRKJZUIBSA-N,AAABMNXUOFPYQK,"InChI=1S/C25H43NO10/c1-13-10-25(32-8,36-15(3)14(13)2)20(28)22(29)26-23-19-18(33-12-34-23)21(31-7)24(4,5)17(35-19)9-16(11-27)30-6/h14-21,23,27-28H,1,9-12H2,2-8H3,(H,26,29)/t14-,15-,16+,17-,18+,19+,20-,21-,23-,25-/m1/s1",C=C1C[C@](OC)([C@H](O)C(O)=N[C@@H]2OCO[C@H]3[C@@H]2O[C@H](C[C@@H](CO)OC)C(C)(C)[C@@H]3OC)O[C@H](C)[C@@H]1C,Demospongiae|Metazoa|Mycale|Mycalidae|Poecilosclerida|Porifera,Metazoa,Mycalidae,Mycale,Pyranodioxins,,Open-chain polyketides,Polyketides,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000111111000001110000111110000000000000001110000000000000000000111110000000000000000000101100010000000000100000010000000001000000000010001100100000010000000000000000110000000000000000000000000000000000000000000000010000000000000000000000000000100000001000000100011000000000010000000000010100000000011000000000000001000000000100000100000011100000000000011000011100101000111100000000000000000000000100000000000000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000100100010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000101111000001111,1.5526,129.6304,212.863605629572,137.66,517.616,517.288696575999,11,3,9,3,10,0,11,36,79,10,0,3,0,3,3,0,3,3,0,0,0,0.88,22.3782787438862,12.3569129826828,10.5018242384246,8.02807634029339,5.36591316935994,12.3569129826828,10.5018242384246,8.02807634029339,5.36591316935994,-1.15,29.4066223403765,11.7107056726475,5.49840864119156,3,81.7920989999999,0,0,79,61.7399009999999,38,873,5301.11,497.512808057247,11,3,5,3,0.466666666666666,19,2,137.66,6.24792751344358,517.288696576001,0.081,190,C25H43NO10,0,0,0,36,517.610602316939,0.278481012658227,9
AAANZTDKTFGJLZ-UHFFFAOYSA-N,AAANZTDKTFGJLZ,"InChI=1S/C19H18O6/c1-9(2)4-5-10-13(24-3)8-14-16(17(10)22)18(23)15-11(20)6-7-12(21)19(15)25-14/h4,6-8,20-22H,5H2,1-3H3",COc1cc2oc3c(O)ccc(O)c3c(=O)c2c(O)c1CC=C(C)C,Garcinia mangostana,Viridiplantae,Clusiaceae,Garcinia,Benzopyrans,1-benzopyrans,Plant xanthones,Shikimates and Phenylpropanoids,00000000000000000000000000000000000000000000000000000000100001000000000000000100001100000000000000100001000000000000000100001000000000000000100001100000000000000100001000111001100111111001101110101001111100001100111011101000010101000000001111010010111000110100111100100000101011000101011000111000101101100111001001011000000010011000100010110001010000000000100010001000000000000000001000010010000000000000100000100000001000000000000000100101000000101010000000001000100000010011000000000000000000011011000000100110001000000000110010000000100100000001100000000000000000000000100000000000000000000010110000000000000000000000010111000000000000000000000000000000000000000000000000000000000000001000001100010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000001111000000111,3.5803,94.6714,142.75736724731,100.13,342.347,342.110338296,6,3,3,3,6,0,6,25,43,0,0,3,3,0,0,1,0,0,2,0,0,0.210526315789473,14.0828935158365,7.68407595200606,6.00384651925345,4.04407376340733,2.76712453399781,7.68407595200606,6.00384651925345,4.04407376340733,2.76712453399781,-3.14999999999999,16.6988588267869,6.04995434201878,2.65239857005913,2.88999999999999,50.2542739999999,14,16,43,24.4677259999999,27,445,1425.06,309.960481086834,1,3,4,19,0.454545454545454,9,0,96.22,5.75488750216346,342.110338296,3.13199999999999,134,C19H18O6,0,0,0,25,342.343345173252,0.093023255813953,3
AAAZGBHLLCPNHK-UHFFFAOYSA-N,AAAZGBHLLCPNHK,"InChI=1S/C14H19Br2N5O4/c15-8-6-9(7(5-10(17)22)11(16)12(8)23)25-14(24)21-4-2-1-3-20-13(18)19/h6,23H,1-5H2,(H2,17,22)(H,21,24)(H4,18,19,20)",N=C(O)Cc1c(OC(O)=NCCCCNC(=N)N)cc(Br)c(O)c1Br,Aplysinellidae|Demospongiae|Metazoa|Porifera|Suberea|Suberea clavata|Verongiida,Metazoa,Aplysinellidae,Suberea,Benzene and substituted derivatives,Phenylacetamides,Polyamines,Alkaloids,00000000000000000000000000000000000000000000000000001000010001010000000001000000001000000000000000110000000000000001000010001010000000001000000001000000000000000110000000111000000101101000001110000001111101000010111010011000011001000000010110010010000000100000011100010000101011000000111010110000101000100011001000011100100010101000100000111110000000001000100011000000000100000000001000000010100000000000100000100000000000000001001000100011000000100010000000000010100000000011000000000001101000001011100001000110000100000000110011000001100100000001101011000000000000000000100000000101000000000011110000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000111011100111000000111,2.55104,102.2759,160.738059097057,168.03,481.145,478.980378287999,9,8,8,7,5,0,11,25,44,0,0,1,1,0,0,0,0,0,1,0,0,0.357142857142857,16.3152591410235,8.7595498351688,6.58238978442008,4.40586914310721,3.03627348819706,7.1735532960541,4.93505461568821,2.94719472445069,1.81491026416739,-2.01,21.0334971726837,10.0880436808301,7.17733029589722,1.79,52.1170669999999,6,6,44,26.5869329999999,25,559,1336.11,340.336978355545,7,7,10,11,0.5,16,1,168.03,5.64385618977472,478.980378288,3.211,116,C14H19Br2N5O4,0,0,0,25,481.139368564879,0.113636363636363,10
AABSRFLRNFXOQB-ZXSWEOGUSA-N,AABSRFLRNFXOQB,"InChI=1S/C21H34O4/c1-16(8-6-14-21(5)15-12-19(24)25-21)10-11-18(23)20(3,4)13-7-9-17(2)22/h8H,6-7,9-15H2,1-5H3/b16-8+/t21-/m1/s1",CC(=O)CCCC(C)(C)C(=O)CC/C(C)=C/CC[C@]1(C)CCC(=O)O1,Demospongiae|Diacarnus|Diacarnus megaspinorhabdosa|Metazoa|Podospongiidae|Poecilosclerida|Porifera,Metazoa,Podospongiidae,Diacarnus,Prenol lipids,Terpene lactones,,Terpenoids,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000100000111000100110101000111000000000000000001000000000000000000010010000000000000000000000100000000000000100000000000000001001000000000000000000000010000000000000000000010000000000100000000000000000000000000000000010000000000000000000000000000000000000100000100101100000101010000000001000100000000001000000000000000000000000100000100000000000000000000010000000100100010011100000000000000000000000000000000000000000000010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000001111000001111,4.9434,99.276,151.940770659686,60.44,350.499,350.245709567999,4,0,11,0,4,0,4,25,59,1,0,1,0,1,1,0,1,1,0,0,0,0.761904761904761,16.574304461724,9.44241788537124,8.37575685721324,5.21603504100655,3.21313647111327,9.44241788537124,8.37575685721324,5.21603504100655,3.21313647111327,-1.45,21.5924628450106,9.30370745889424,7.97763376972068,3.33,62.8389619999999,0,0,59,41.9590379999999,25,614,2881.04,384.030749142246,4,0,13,3,0.5,16,1,60.44,5.64385618977472,350.245709568,3.081,120,C21H34O4,0,0,0,25,350.493059172902,0.271186440677966,11
AADCTXISQBRNJN-ZXABJLRBSA-N,AADCTXISQBRNJN,"InChI=1S/C27H40N4O3/c1-20(2)16-24(33)17-23(5)13-9-11-21(3)10-8-12-22(4)14-15-31-18-29-26(30(7)19-32)25(31)27(34)28-6/h10,13-14,16,18-19H,8-9,11-12,15,17H2,1-7H3,(H,28,34)/b21-10+,22-14+,23-13+",CN=C(O)c1c(N(C)C=O)ncn1C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC(=O)C=C(C)C,Alcyonacea|Anthozoa|Cnidaria|Echinogorgia|Metazoa|Plexauridae,Metazoa,Plexauridae,Echinogorgia,Prenol lipids,Diterpenoids,,Terpenoids,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100100010000001101101000000111000010101000000000000000000100010100000000000100100000000001001001000001100100100000100011010000110100001010010000000000110101000000000000101000010001000110010110100000000010000000100100000001011111100111001100101110000000001010100000000010010000011000011101000000011011110000001100000011010011000001100110000001100000000000000000000000100000000000000000000011110000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011011101111000001111,5.7348,140.577799999999,203.842815733181,87.7899999999999,468.642,468.310041139999,7,1,14,1,5,1,7,34,74,0,0,1,1,0,0,1,0,0,0,0,0,0.481481481481481,21.7593068606845,11.6254461273743,8.92623086762944,5.33635639606596,3.42329874180492,11.6254461273743,8.92623086762944,5.33635639606596,3.42329874180492,-3.21999999999999,28.8124886289798,14.8324136859441,10.1492707315642,3.65999999999999,80.9977199999999,5,5,74,52.2442799999999,34,1116,4354.07,498.921177525553,6,1,16,11,0.476190476190476,21,1,87.7899999999999,6.08746284125034,468.310041140001,4.675,156,C27H40N4O3,0,0,0,34,468.632526977159,0.175675675675675,13
AADQFNAACHHRLT-UHFFFAOYSA-N,AADQFNAACHHRLT,"InChI=1S/C11H16/c1-8(2)11-6-5-9(3)7-10(11)4/h5-8H,1-4H3",Cc1ccc(C(C)C)c(C)c1,Zataria multiflora,Viridiplantae,Lamiaceae,Zataria,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Terpenoids,00000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000110111000000000011000000010000000011100000000100010001000000000000000000010000010000000000000001000000000100001000100010000000000101000100000001000001000000010001000000000000000000000000000100010001000000000000000000000000010000000000000000000100000000000000000000000100001000000100010000000000000100000000000000000000000000000001000000000100110000000000000110000000000100000000101100000000000000000000000000000000000000000000000110000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000111,3.42684,50.005,69.25611369148,0,148.249,148.125200512,0,0,1,0,0,0,0,11,27,0,0,1,1,0,0,0,0,0,1,0,0,0.454545454545454,7.8094010767585,4.18140954468665,3.51474287801998,2.04731094382968,1.473414998334,4.18140954468665,3.51474287801998,2.04731094382968,1.473414998334,-0.78,8.31784735812133,3.08088411757375,1.82685305775549,2.67,30.0286879999999,6,6,27,17.4913119999999,11,95,619,167.646454782133,0,0,3,6,0.5,5,0,0,4.45943161863729,148.125200512,4.30099999999999,52,C11H16,0,0,0,11,148.24514692588,0.185185185185185,1
AADVCYNFEREWOS-FHJFQTETSA-N,AADVCYNFEREWOS,"InChI=1S/C33H55NO8/c1-10-11-12-20(4)31(42-33(34)40)24(8)29(37)22(6)16-18(2)15-21(5)28(36)19(3)13-14-26(35)17-27-23(7)30(38)25(9)32(39)41-27/h10-15,19-31,35-38H,1,16-17H2,2-9H3,(H2,34,40)/b12-11-,14-13-,18-15-/t19-,20-,21-,22-,23-,24-,25+,26+,27?,28-,29+,30-,31-/m0/s1",C=C/C=C\[C@H](C)[C@H](OC(=N)O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C\[C@H](C)[C@@H](O)[C@@H](C)/C=C\[C@@H](O)CC1OC(=O)[C@H](C)[C@@H](O)[C@H]1C,Demospongiae|Discodermia|Discodermia dissoluta|Metazoa|Porifera|Tetractinellida|Theonellidae,Metazoa,Theonellidae,Discodermia,Prenol lipids,Terpene lactones,Open-chain polyketides,Polyketides,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111001100100111001101110001000111000000000010010011000000000000000001111010000000000000000010100100000000000000100000000000000001101000001010000001100000010000000000000000000010000000000100000001000000000000000000000000010000000000000000000000000000000000000100000100101100000100010000000001010100000000011000000000001000000000000100000100000001000000000000010000010100101000101100000000000000000000000100000000100000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000111111000001111,4.71097,164.751699999999,251.698287725557,160.53,593.802,593.392767719999,9,6,16,6,8,0,9,42,97,13,1,1,0,1,1,0,1,1,0,0,0,0.696969696969697,26.5517883070539,15.0288613525245,12.4219739935082,8.61271093281104,5.79634977454973,15.0288613525245,12.4219739935082,8.61271093281104,5.79634977454973,-2.46,37.5652908447142,17.6071269698403,11.320503967457,4.1,102.269614999999,0,0,97,64.9163849999999,42,1483,7687.09,632.467314261456,9,6,19,4,0.478260869565217,30,3,160.53,6.39231742277876,593.392767720001,4.71999999999999,200,C33H55NO8,0,0,0,42,593.792968682013,0.237113402061855,17
AADVCYNFEREWOS-IMXZWMQCSA-N,AADVCYNFEREWOS,"InChI=1S/C33H55NO8/c1-10-11-12-20(4)31(42-33(34)40)24(8)29(37)22(6)16-18(2)15-21(5)28(36)19(3)13-14-26(35)17-27-23(7)30(38)25(9)32(39)41-27/h10-15,19-31,35-38H,1,16-17H2,2-9H3,(H2,34,40)/b12-11-,14-13-,18-15-/t19-,20-,21-,22-,23-,24-,25-,26+,27-,28-,29+,30-,31-/m0/s1",C=C/C=C\[C@H](C)[C@H](OC(=N)O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C\[C@H](C)[C@@H](O)[C@@H](C)/C=C\[C@@H](O)C[C@@H]1OC(=O)[C@@H](C)[C@@H](O)[C@H]1C,Demospongiae|Discodermia|Discodermia sp.|Metazoa|Porifera|Tetractinellida|Theonellidae,Metazoa,Theonellidae,Discodermia,Prenol lipids,Terpene lactones,Open-chain polyketides,Polyketides,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111001100100111001101110001000111000000000010010011000000000000000001111010000000000000000010100100000000000000100000000000000001101000001010000001100000010000000000000000000010000000000100000001000000000000000000000000010000000000000000000000000000000000000100000100101100000100010000000001010100000000011000000000001000000000000100000100000001000000000000010000010100101000101100000000000000000000000100000000100000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000111111000001111,4.71097,164.751699999999,251.698287725557,160.53,593.802,593.392767719999,9,6,16,6,8,0,9,42,97,13,0,1,0,1,1,0,1,1,0,0,0,0.696969696969697,26.5517883070539,15.0288613525245,12.4219739935082,8.61271093281104,5.79634977454973,15.0288613525245,12.4219739935082,8.61271093281104,5.79634977454973,-2.46,37.5652908447142,17.6071269698403,11.320503967457,4.1,102.269614999999,0,0,97,64.9163849999999,42,1483,7687.09,632.467314261456,9,6,19,4,0.478260869565217,30,3,160.53,6.39231742277876,593.392767720001,4.71999999999999,200,C33H55NO8,0,0,0,42,593.792968682013,0.237113402061855,17
AADVCYNFEREWOS-NBQLXLODSA-N,AADVCYNFEREWOS,"InChI=1S/C33H55NO8/c1-10-11-12-20(4)31(42-33(34)40)24(8)29(37)22(6)16-18(2)15-21(5)28(36)19(3)13-14-26(35)17-27-23(7)30(38)25(9)32(39)41-27/h10-15,19-31,35-38H,1,16-17H2,2-9H3,(H2,34,40)/b12-11-,14-13-,18-15-/t19-,20-,21-,22-,23-,24-,25+,26+,27-,28-,29+,30-,31-/m1/s1",C=C/C=C\[C@@H](C)[C@@H](OC(=N)O)[C@H](C)[C@@H](O)[C@H](C)C/C(C)=C\[C@@H](C)[C@H](O)[C@H](C)/C=C\[C@H](O)C[C@H]1OC(=O)[C@@H](C)[C@H](O)[C@@H]1C,Demospongiae|Discodermia|Discodermia dissoluta|Metazoa|Porifera|Tetractinellida|Theonellidae,Metazoa,Theonellidae,Discodermia,Prenol lipids,Terpene lactones,Open-chain polyketides,Polyketides,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111001100100111001101110001000111000000000010010011000000000000000001111010000000000000000010100100000000000000100000000000000001101000001010000001100000010000000000000000000010000000000100000001000000000000000000000000010000000000000000000000000000000000000100000100101100000100010000000001010100000000011000000000001000000000000100000100000001000000000000010000010100101000101100000000000000000000000100000000100000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000111111000001111,4.71097,164.751699999999,251.698287725557,160.53,593.802,593.392767719999,9,6,16,6,8,0,9,42,97,13,0,1,0,1,1,0,1,1,0,0,0,0.696969696969697,26.5517883070539,15.0288613525245,12.4219739935082,8.61271093281104,5.79634977454973,15.0288613525245,12.4219739935082,8.61271093281104,5.79634977454973,-2.46,37.5652908447142,17.6071269698403,11.320503967457,4.1,102.269614999999,0,0,97,64.9163849999999,42,1483,7687.09,632.467314261456,9,6,19,4,0.478260869565217,30,3,160.53,6.39231742277876,593.392767720001,4.71999999999999,200,C33H55NO8,0,0,0,42,593.792968682013,0.237113402061855,17
